Rank,Country,Log Price Impact,Shipping Impact,Production Impact,Overall Est. Increase,Explanation of Suspicion
1,Canada,5.50%,4.00%,6.00%,5.40%,"Relies on land-based logistics. While ocean freight is less of a factor, domestic diesel prices hike harvesting and trucking. Production is hit by petroleum-based resin costs."
2,Vietnam,4.00%,18.00%,7.00%,8.00%,"Faces extreme ocean freight volatility due to bunkering costs and rerouting around conflict zones. Production is affected by imported resins and energy for kilns."
3,Indonesia,4.00%,18.00%,7.00%,8.00%,"Similar to Vietnam, relies heavily on trans-Pacific shipping. High fuel surcharges and energy-dependent manufacturing drive the price hike."
4,Chile,7.00%,12.00%,5.50%,7.40%,"Long-haul ocean freight is the main driver. Harvesting in vast interiors requires high diesel consumption for machinery and transport to ports. Resins are mostly imported."
5,Brazil,7.00%,12.00%,5.50%,7.40%,"Massive inland distances from forest to port mean diesel price spikes are immediately reflected. High ocean freight costs to the US further inflate prices."
6,China,4.00%,18.00%,7.00%,8.00%,"Extensive rely on bunker fuel for shipping. Production costs are sensitive to imported petrochemicals used in resins and adhesives."
7,Cambodia,4.00%,18.00%,7.00%,8.00%,"Infrastructure limitations make regional shipping expensive; any global fuel spike causes a disproportionate rise in logistics costs."
8,Malaysia,4.00%,18.00%,7.00%,8.00%,"High exposure to maritime fuel costs. Domestic energy subsidies might mitigate some production costs, but export logistics remain high-risk."
9,Ecuador,7.00%,12.00%,5.50%,7.40%,"Reliance on truck-to-port logistics for balsa/tropical wood makes them vulnerable to diesel hikes. Pan-American shipping rates would increase."
10,Thailand,4.00%,18.00%,7.00%,8.00%,"Strong manufacturing base is vulnerable to electricity and gas price increases. Ocean-bound freight to the US is the primary cost driver."
11,Spain,6.50%,8.00%,12.00%,9.00%,"Extremely sensitive to natural gas prices. Conflict strains energy markets, causing kiln drying and pressing costs to soar. Trans-Atlantic logistics costs also rise."
12,Finland,6.50%,8.00%,12.00%,9.00%,"High-latitude harvesting is energy-intensive. Industrial wood processing in the Nordics is heavily impacted by the European energy market volatility."
13,Russia,10.00%,25.00%,12.00%,13.80%,"Faces a 'Sanction & War Premium'. Logistics are inefficient and require high-cost workarounds. Domestic fuel for remote harvesting is hit by military requisitioning."
14,Uruguay,7.00%,12.00%,5.50%,7.40%,"Intensive pine plantation harvesting relies on diesel. Long-distance shipping to North America is the largest variable in their pricing."
15,Sweden,6.50%,8.00%,12.00%,9.00%,"Like Finland, Swedish mills are sensitive to the high cost of electricity and gas required for high-grade structural plywood production."
16,Belgium,6.50%,8.00%,12.00%,9.00%,"As a major processing hub, Belgium's energy costs for secondary manufacturing and logistics through North Sea ports are high-impact areas."
17,Gabon,9.00%,15.00%,4.00%,8.20%,"Infrastructure relies heavily on diesel for harvesting and internal transport. Limited direct routes to the US mean high exposure to global bunker fuel and fees."
18,Taiwan,4.00%,18.00%,7.00%,8.00%,"A re-exporter facing a 'double fuel hit': importing raw logs/veneer at higher costs, then exporting finished plywood with massive trans-Pacific surcharges."
19,Poland,6.50%,8.00%,12.00%,9.00%,"Strong furniture and plywood industry is deeply integrated into the European gas grid, making production costs highly volatile during war."
20,Guatemala,7.00%,12.00%,5.50%,7.40%,"Regional transport costs for tropical hardwoods are hit by diesel hikes. Shipping through the Caribbean/Gulf sees increased insurance premiums."
21,Italy,6.50%,8.00%,12.00%,9.00%,"High-end decorative plywood production is energy-intensive. Italy's reliance on imported gas for industry leads to significant production cost spikes."
22,Germany,6.50%,8.00%,12.00%,9.00%,"Industrial power costs are a major factor. The German wood-working sector faces high overheads when global oil and gas prices surge."
23,Mexico,5.50%,4.00%,6.00%,5.40%,"Benefits from land-logistics like Canada. However, manufacturing energy and petroleum-based chemicals still drive a noticeable price increase."
24,Latvia,6.50%,8.00%,12.00%,9.00%,"Heavily focused on birch plywood. Harvesting in difficult terrain and energy for processing make them highly susceptible to fuel and gas price shifts."
25,Paraguay,7.00%,12.00%,5.50%,7.40%,"Being landlocked, Paraguay faces double logistics costs: river/road transport to coastal ports plus international ocean freight, both hit by fuel prices."
